event,session_id,timestamp
task_started,s01,1000
task_completed,s01,1060
task_started,s02,1100
task_completed,s02,1160
task_started,s03,1200
task_completed,s03,1260
task_started,s04,1300
task_completed,s04,1360
task_started,s05,1400
task_completed,s05,1460
task_started,s06,1500
task_completed,s06,1560
task_started,s07,1600
task_completed,s07,1660
task_started,s08,1700
task_completed,s08,1760
task_started,s09,1800
task_completed,s09,1860
task_started,s10,1900
task_completed,s10,1960
task_started,s11,2000
task_completed,s11,2060
task_started,s12,2100
task_completed,s12,2160
task_started,s13,2200
task_completed,s13,2260
task_started,s14,2300
task_completed,s14,2360
task_started,s15,2400
task_completed,s15,2460
task_started,s16,2500
task_completed,s16,2560
task_started,s17,2600
task_completed,s17,2660
task_started,s18,2700
task_completed,s18,2760
task_started,s19,2800
task_error,s19,2830
task_recovered,s19,2880
task_started,s20,2900
task_error,s20,2930
support_opened,s20,2960
