event,session_id,timestamp
task_started,s01,1000
task_completed,s01,1120
task_started,s02,1100
task_completed,s02,1220
task_started,s03,1200
task_completed,s03,1320
task_started,s04,1300
task_completed,s04,1420
task_started,s05,1400
task_completed,s05,1520
task_started,s06,1500
task_completed,s06,1620
task_started,s07,1600
task_completed,s07,1720
task_started,s08,1700
task_completed,s08,1820
task_started,s09,1800
task_completed,s09,1920
task_started,s10,1900
task_completed,s10,2020
task_started,s11,2000
task_completed,s11,2120
task_started,s12,2100
task_completed,s12,2220
task_started,s13,2200
task_error,s13,2240
task_recovered,s13,2300
task_started,s14,2300
task_error,s14,2340
task_recovered,s14,2400
task_started,s15,2400
task_error,s15,2440
support_opened,s15,2500
task_started,s16,2500
task_error,s16,2540
support_opened,s16,2600
task_started,s17,2600
task_started,s18,2700
task_started,s19,2800
task_started,s20,2900
